,density,env,Run,BurnedOut,height,width
158,0.02,0.059000000000000004,158,0.005319148936170213,100,100
159,0.02,0.06,159,0.017045454545454544,100,100
160,0.02,0.061,160,0.018867924528301886,100,100
161,0.02,0.062,161,0.03669724770642202,100,100
162,0.02,0.063,162,0.01932367149758454,100,100
163,0.02,0.064,163,0.035,100,100
164,0.02,0.065,164,0.0048543689320388345,100,100
165,0.02,0.066,165,0.02577319587628866,100,100
166,0.02,0.067,166,0.005,100,100
167,0.02,0.068,167,0.013888888888888888,100,100
168,0.02,0.069,168,0.03431372549019608,100,100
169,0.02,0.07,169,0.019801980198019802,100,100
170,0.02,0.07100000000000001,170,0.02717391304347826,100,100
171,0.02,0.07200000000000001,171,0.004878048780487805,100,100
172,0.02,0.073,172,0.02403846153846154,100,100
173,0.02,0.074,173,0.0136986301369863,100,100
174,0.02,0.075,174,0.020202020202020204,100,100
175,0.02,0.076,175,0.023255813953488372,100,100
176,0.02,0.077,176,0.026041666666666668,100,100
177,0.02,0.078,177,0.004901960784313725,100,100
178,0.02,0.079,178,0.02926829268292683,100,100
179,0.02,0.08,179,0.0213903743315508,100,100
180,0.02,0.081,180,0.02617801047120419,100,100
181,0.02,0.082,181,0.023696682464454975,100,100
182,0.02,0.083,182,0.038461538461538464,100,100
183,0.02,0.084,183,0.010810810810810811,100,100
184,0.02,0.085,184,0.019230769230769232,100,100
185,0.02,0.08600000000000001,185,0.05025125628140704,100,100
186,0.02,0.08700000000000001,186,0.02304147465437788,100,100
187,0.02,0.088,187,0.009523809523809525,100,100
188,0.02,0.089,188,0.025252525252525252,100,100
189,0.02,0.09,189,0.01507537688442211,100,100
190,0.02,0.091,190,0.016129032258064516,100,100
191,0.02,0.092,191,0.01015228426395939,100,100
192,0.02,0.093,192,0.023148148148148147,100,100
193,0.02,0.094,193,0.005376344086021506,100,100
194,0.02,0.095,194,0.025906735751295335,100,100
195,0.02,0.096,195,0.03684210526315789,100,100
196,0.02,0.097,196,0.04371584699453552,100,100
197,0.02,0.098,197,0.03529411764705882,100,100
198,0.02,0.099,198,0.025,100,100
199,0.02,0.1,199,0.024630541871921183,100,100
200,0.03,0.001,200,0.0,100,100
201,0.03,0.002,201,0.0,100,100
202,0.03,0.003,202,0.012987012987012988,100,100
203,0.03,0.004,203,0.0,100,100
204,0.03,0.005,204,0.0034965034965034965,100,100
205,0.03,0.006,205,0.006993006993006993,100,100
206,0.03,0.007,206,0.0,100,100
207,0.03,0.008,207,0.0,100,100
208,0.03,0.009000000000000001,208,0.0,100,100
209,0.03,0.01,209,0.0033333333333333335,100,100
210,0.03,0.011,210,0.007017543859649123,100,100
211,0.03,0.012,211,0.0035211267605633804,100,100
212,0.03,0.013000000000000001,212,0.0,100,100
213,0.03,0.014,213,0.009966777408637873,100,100
214,0.03,0.015,214,0.01607717041800643,100,100
215,0.03,0.016,215,0.006535947712418301,100,100
216,0.03,0.017,216,0.0033783783783783786,100,100
